celex,subject,country,case_label,ecli,judge,advocate,chamber,lodge_date,document_date,year_document,year_lodge,is_join_case,ruling_title,ruling_name,ruling_type
62010CJ0468,Approximation of laws,Spain,Joined cases C-468/10 and C-469/10,EU:C:2011:777,Lenaerts,Mengozzi,Spain-Third Chamber,2010-09-28,2011-11-24,2011,2010.0,1,Judgment of the Court (Third Chamber) of 24 November 2011.,Asociación Nacional de Establecimientos Financieros de Crédito (ASNEF) (C-468/10) and Federación de Comercio Electrónico y Marketing Directo (FECEMD) (C-469/10) v Administración del Estado.,References for a preliminary ruling: Tribunal Supremo - Spain.
62010CJ0468,Charter of Fundamental Rights,Spain,Joined cases C-468/10 and C-469/10,EU:C:2011:777,Lenaerts,Mengozzi,Spain-Third Chamber,2010-09-28,2011-11-24,2011,2010.0,1,Judgment of the Court (Third Chamber) of 24 November 2011.,Asociación Nacional de Establecimientos Financieros de Crédito (ASNEF) (C-468/10) and Federación de Comercio Electrónico y Marketing Directo (FECEMD) (C-469/10) v Administración del Estado.,References for a preliminary ruling: Tribunal Supremo - Spain.
62010CJ0468,Data protection,Spain,Joined cases C-468/10 and C-469/10,EU:C:2011:777,Lenaerts,Mengozzi,Spain-Third Chamber,2010-09-28,2011-11-24,2011,2010.0,1,Judgment of the Court (Third Chamber) of 24 November 2011.,Asociación Nacional de Establecimientos Financieros de Crédito (ASNEF) (C-468/10) and Federación de Comercio Electrónico y Marketing Directo (FECEMD) (C-469/10) v Administración del Estado.,References for a preliminary ruling: Tribunal Supremo - Spain.
62010CJ0468,Fundamental rights,Spain,Joined cases C-468/10 and C-469/10,EU:C:2011:777,Lenaerts,Mengozzi,Spain-Third Chamber,2010-09-28,2011-11-24,2011,2010.0,1,Judgment of the Court (Third Chamber) of 24 November 2011.,Asociación Nacional de Establecimientos Financieros de Crédito (ASNEF) (C-468/10) and Federación de Comercio Electrónico y Marketing Directo (FECEMD) (C-469/10) v Administración del Estado.,References for a preliminary ruling: Tribunal Supremo - Spain.
62010CJ0472,Approximation of laws,Hungary,Case Câ472/10,EU:C:2012:242,Safjan,Trstenjak,Hungary-First Chamber,2010-09-29,2012-04-26,2012,2010.0,0,Judgment of the Court (First Chamber); 26 April 2012.,Nemzeti Fogyasztóvédelmi Hatóság v Invitel Távközlési Zrt.,Reference for a preliminary ruling from the Pest Megyei Bíróság.
62010CJ0472,Consumer protection,Hungary,Case Câ472/10,EU:C:2012:242,Safjan,Trstenjak,Hungary-First Chamber,2010-09-29,2012-04-26,2012,2010.0,0,Judgment of the Court (First Chamber); 26 April 2012.,Nemzeti Fogyasztóvédelmi Hatóság v Invitel Távközlési Zrt.,Reference for a preliminary ruling from the Pest Megyei Bíróság.
62010CJ0473,Transport,Hungary,  Case C-473/10,EU:C:2013:113,Borg Barthet,JÃ¤Ã¤skinen,Hungary-First Chamber,2010-09-29,2013-02-28,2013,2010.0,0,Judgment of the Court (First Chamber) of 28 February 2013. , European Commission v Hungary. ,not_specified
62010CJ0474,Environment,United Kingdom,  Case C-474/10,EU:C:2011:681,Toader,Bot,United Kingdom-Fourth Chamber,2010-09-29,2011-10-20,2011,2010.0,0,Judgment of the Court (Fourth Chamber) of 20 October 2011. , Department of the Environment for Northern Ireland v Seaport (NI) Ltd and Others. , Reference for a preliminary ruling: Court of Appeal in Northern Ireland - United Kingdom. 
62010CJ0477,Access to documents,Czech Republic,Case C-477/10 P,EU:C:2012:394,JuhÃ¡sz,Cruz VillalÃ³n,Czech Republic-Third Chamber,2010-09-23,2012-06-28,2012,2010.0,0,Judgment of the Court (Third Chamber); 28 June 2012.,European Commission v Agrofert Holding a.s.,not_specified
62010CJ0477,Competition,Czech Republic,Case C-477/10 P,EU:C:2012:394,JuhÃ¡sz,Cruz VillalÃ³n,Czech Republic-Third Chamber,2010-09-23,2012-06-28,2012,2010.0,0,Judgment of the Court (Third Chamber); 28 June 2012.,European Commission v Agrofert Holding a.s.,not_specified
62010CJ0477,Concentrations between undertakings,Czech Republic,Case C-477/10 P,EU:C:2012:394,JuhÃ¡sz,Cruz VillalÃ³n,Czech Republic-Third Chamber,2010-09-23,2012-06-28,2012,2010.0,0,Judgment of the Court (Third Chamber); 28 June 2012.,European Commission v Agrofert Holding a.s.,not_specified
62010CJ0477,Provisions governing the Institutions,Czech Republic,Case C-477/10 P,EU:C:2012:394,JuhÃ¡sz,Cruz VillalÃ³n,Czech Republic-Third Chamber,2010-09-23,2012-06-28,2012,2010.0,0,Judgment of the Court (Third Chamber); 28 June 2012.,European Commission v Agrofert Holding a.s.,not_specified
62010CJ0479,Environment,Sweden,  Case C-479/10,EU:C:2011:287,Safjan,Sharpston,Sweden-Fifth Chamber,2010-10-05,2011-05-10,2011,2010.0,0,Judgment of the Court (Fifth Chamber) of 10 May 2011. , European Commission v Kingdom of Sweden. ,not_specified
62010CJ0479,Pollution,Sweden,  Case C-479/10,EU:C:2011:287,Safjan,Sharpston,Sweden-Fifth Chamber,2010-10-05,2011-05-10,2011,2010.0,0,Judgment of the Court (Fifth Chamber) of 10 May 2011. , European Commission v Kingdom of Sweden. ,not_specified
62010CJ0480,Taxation,Sweden,  Case C-480/10,EU:C:2013:263,JaraÅ¡iÅ«nas,JÃ¤Ã¤skinen,Sweden-Fourth Chamber,2010-10-05,2013-04-25,2013,2010.0,0,Judgment of the Court (Fourth Chamber) of 25 April 2013. , European Commission v Kingdom of Sweden. ,not_specified
62010CJ0480,Value added tax,Sweden,  Case C-480/10,EU:C:2013:263,JaraÅ¡iÅ«nas,JÃ¤Ã¤skinen,Sweden-Fourth Chamber,2010-10-05,2013-04-25,2013,2010.0,0,Judgment of the Court (Fourth Chamber) of 25 April 2013. , European Commission v Kingdom of Sweden. ,not_specified
62010CJ0482,Principles; objectives and tasks of the Treaties,Italy,  Case C-482/10,EU:C:2011:868,von Danwitz,Bot,Italy-Third Chamber,2010-10-06,2011-12-21,2011,2010.0,0,Judgment of the Court (Third Chamber) of 21 December 2011. , Teresa Cicala v Regione Siciliana. , Reference for a preliminary ruling: Corte dei Conti - sezione giurisdizionale per la Regione Siciliana - Italy. 
62010CJ0483,Transport,Spain,  Case C-483/10,EU:C:2013:114,Borg Barthet,JÃ¤Ã¤skinen,Spain-First Chamber,2010-10-06,2013-02-28,2013,2010.0,0,Judgment of the Court (First Chamber) of 28 February 2013. , European Commission v Kingdom of Spain. ,not_specified
